Year ,Month,Transport Mode,Volume ,Rate,,,,
2014,January,London Underground / Docklands Light Railway,973,8.6,,,,
2014,February,London Underground / Docklands Light Railway,850,8.3,,,,
2014,March,London Underground / Docklands Light Railway,914,7.7,,,,
2013,April,London Overground,75,6.6,,,,
2013,May,London Overground,91,7.9,,,,
2013,June,London Overground,84,7.1,,,,
2013,July,London Overground,81,6.5,,,,
2013,August,London Overground,48,4.3,,,,
2013,September,London Overground,68,5.8,,,,
2013,October,London Overground,80,7.1,,,,
2013,November,London Overground,70,6.2,,,,
2013,December,London Overground,64,6.5,,,,
2014,January,London Overground,81,7.4,,,,
2014,February,London Overground,75,6.9,,,,
2014,March,London Overground,82,7.1,,,,
2013,April,London Tramlink,41,16.1,,,,
2013,May,London Tramlink,36,13.6,,,,
2013,June,London Tramlink,30,11.3,,,,
2013,July,London Tramlink,34,12.6,,,,
2013,August,London Tramlink,28,12.8,,,,
2013,September,London Tramlink,22,8.3,,,,
2013,October,London Tramlink,33,11.8,,,,
2013,November,London Tramlink,19,6.8,,,,
2013,December,London Tramlink,20,8.4,,,,
2014,January,London Tramlink,21,8,,,,
2014,February,London Tramlink,22,9.1,,,,
2014,March,London Tramlink,12,4.2,,,,
2013,April,All transport modes,"2,712",8.6,,,,
2013,May,All transport modes,"2,691",8,,,,
2013,June,All transport modes,"2,666",8.1,,,,
2013,July,All transport modes,"2,762",8.2,,,,
2013,August,All transport modes,"2,629",8.7,,,,
2013,September,All transport modes,"2,523",7.6,,,,
2013,October,All transport modes,"2,720",7.8,,,,
2013,November,All transport modes,"2,466",7.2,,,,
2013,December,All transport modes,"2,241",7.3,,,,
2014,January,All transport modes,"2,445",7.5,,,,
2014,February,All transport modes,"2,291",7.6,,,,
2014,March,All transport modes,"2,472",7.1,,,,
2014,April,Bus,"1,306",6.8,,,,
2014,May,Bus,"1,350",6.6,,,,
2014,June,Bus,"1,438",6.9,,,,
2014,July,Bus,"1,392",6.8,,,,
2014,August,Bus,"1,183",6.6,,,,
2014,September,Bus,"1,559",7.4,,,,
2014,October,Bus,"1,585",7.4,,,,
