Year,Month,Transport Mode,Crime Volume,Rate
2014,8,London Tramlink,7.0,3.3
2014,8,London Underground / Docklands Light Railway,764.0,6.9
2014,9,Bus,1559.0,7.4
2014,9,London Overground,82.0,7.1
2014,9,London Tramlink,8.0,2.9
2014,9,London Underground / Docklands Light Railway,793.0,6.8
2014,10,Bus,1585.0,7.4
2014,10,London Overground,54.0,4.4
2014,10,London Tramlink,20.0,7.2
2014,10,London Underground / Docklands Light Railway,913.0,7.0
2014,11,Bus,1521.0,7.4
2014,11,London Overground,63.0,5.3
2014,11,London Tramlink,22.0,8.2
2014,11,London Underground / Docklands Light Railway,856.0,6.8
2014,12,Bus,1515.0,8.0
2014,12,London Overground,52.0,4.9
2014,12,London Tramlink,17.0,6.7
2014,12,London Underground / Docklands Light Railway,883.0,7.7
2015,1,Bus,1501.0,7.9
2015,1,London Overground,64.0,6.1
2015,1,London Tramlink,23.0,8.8
2015,1,London Underground / Docklands Light Railway,801.0,6.9
2015,2,Bus,1339.0,7.6
2015,2,London Overground,68.0,6.1
2015,2,London Tramlink,22.0,9.0
2015,2,London Underground / Docklands Light Railway,724.0,6.3
2015,3,Bus,1588.0,7.7
2015,3,London Overground,58.0,4.6
2015,3,London Tramlink,29.0,10.8
2015,3,London Underground / Docklands Light Railway,899.0,7.1
2015,4,Bus,1376.0,7.2
2015,4,London Overground,70.0,5.6
2015,4,London Tramlink,20.0,9.3
2015,4,London Underground / Docklands Light Railway,805.0,6.9
2015,5,Bus,1415.0,7.1
2015,5,London Overground,63.0,4.9
2015,5,London Tramlink,29.0,12.2
2015,5,London Underground / Docklands Light Railway,841.0,7.0
2015,6,Bus,1509.0,7.3
2015,6,London Overground,98.0,6.1
2015,6,London Tramlink,25.0,9.9
2015,6,London Underground / Docklands Light Railway,841.0,6.8
2015,7,Bus,1524.0,7.6
2015,7,London Overground,127.0,4.9
2015,7,London Tramlink,15.0,6.6
2015,7,London Underground / Docklands Light Railway,837.0,6.8
2015,8,Bus,1368.0,7.9
2015,8,London Overground,117.0,7.8
2015,8,London Tramlink,14.0,6.8
2015,8,London Underground / Docklands Light Railway,830.0,7.6
2015,9,Bus,1408.0,6.9
2015,9,London Overground,108.0,6.7
2015,9,London Tramlink,17.0,7.3
2015,9,London Underground / Docklands Light Railway,815.0,6.6
2015,10,Bus,1550.0,7.6
2015,10,London Overground,125.0,7.3
2015,10,London Tramlink,19.0,8.2
2015,10,London Underground / Docklands Light Railway,929.0,6.8
2015,11,Bus,1633.0,8.3
2015,11,London Overground,111.0,6.6
2015,11,London Tramlink,25.0,10.4
2015,11,London Underground / Docklands Light Railway,1050.0,8.2
2015,12,Bus,1504.0,8.3
2015,12,London Overground,108.0,7.3
2015,12,London Tramlink,20.0,8.8
2015,12,London Underground / Docklands Light Railway,965.0,8.2
2016,1,Bus,1394.0,7.5
2016,1,London Overground,110.0,7.0
2016,1,London Tramlink,33.0,14.5
2016,1,London Underground / Docklands Light Railway,1091.0,9.2
2016,2,Bus,1407.0,7.7
2016,2,London Overground,100.0,6.5
2016,2,London Tramlink,16.0,7.1
2016,2,London Underground / Docklands Light Railway,906.0,7.4
2016,3,Bus,1396.0,7.2
2016,3,London Overground,108.0,6.9
2016,3,London Tramlink,32.0,13.6
2016,3,London Underground / Docklands Light Railway,1132.0,9.0
2016,4,Bus,1347.0,7.1
2016,4,London Overground,73.0,4.6
2016,4,London Tramlink,21.0,8.8
2016,4,London Underground / Docklands Light Railway,790.0,6.4
2016,4,TFL Rail,36.0,9.2
2016,5,Bus,1502.0,7.7
2016,5,London Overground,74.0,4.7
2016,5,London Tramlink,27.0,10.6
2016,5,London Underground / Docklands Light Railway,908.0,7.3
2016,5,TFL Rail,37.0,9.6
2016,6,Bus,1555.0,8.1
2016,6,London Overground,92.0,6.1
2016,6,London Tramlink,25.0,9.7
2016,6,London Underground / Docklands Light Railway,886.0,7.1
2016,6,TFL Rail,45.0,11.2
2016,7,Bus,1482.0,7.9
2016,7,London Overground,110.0,6.9
2016,7,London Tramlink,14.0,5.4
2016,7,London Underground / Docklands Light Railway,911.0,7.1
2016,7,TFL Rail,29.0,7.1
2016,8,Bus,1404.0,8.3
2016,8,London Overground,110.0,7.2
2016,8,London Tramlink,12.0,5.9
2016,8,London Underground / Docklands Light Railway,1028.0,8.7
2016,8,TFL Rail,28.0,7.1
2016,9,Bus,1447.0,7.3
2016,9,London Overground,111.0,7.0
2016,9,London Tramlink,9.0,4.6
2016,9,London Underground / Docklands Light Railway,856.0,6.9
2016,9,TFL Rail,39.0,10.1
2016,10,Bus,1479.0,7.6
2016,10,London Overground,94.0,5.6
2016,10,London Tramlink,22.0,8.2
2016,10,London Underground / Docklands Light Railway,963.0,7.3
2016,10,TFL Rail,37.0,9.2
2016,11,Bus,1432.0,7.3
2016,11,London Overground,98.0,5.8
2016,11,London Tramlink,17.0,7.9
2016,11,London Underground / Docklands Light Railway,1303.0,9.7
2016,11,TFL Rail,30.0,6.9
2016,12,Bus,1370.0,7.8
2016,12,London Overground,76.0,5.1
2016,12,London Tramlink,22.0,9.0
2016,12,London Underground / Docklands Light Railway,1020.0,8.5
2016,12,TFL Rail,38.0,10.7
2017,1,Bus,1212.0,6.6
2017,1,London Overground,91.0,5.8
2017,1,London Tramlink,19.0,7.4
2017,1,London Underground / Docklands Light Railway,974.0,8.4
2017,1,TFL Rail,32.0,7.6
2017,2,Bus,1256.0,7.3
2017,2,London Overground,86.0,5.9
2017,2,London Tramlink,29.0,13.2
2017,2,London Underground / Docklands Light Railway,944.0,8.0
2017,2,TFL Rail,30.0,9.1
2017,3,Bus,1587.0,7.7
2017,3,London Overground,127.0,7.3
2017,3,London Tramlink,28.0,10.2
2017,3,London Underground / Docklands Light Railway,1139.0,8.5
2017,3,TFL Rail,36.0,8.8
2017,4,Bus,1166.0,6.6
2017,4,London Overground,98.0,6.6
2017,4,London Tramlink,19.0,8.7
2017,4,London Underground / Docklands Light Railway,1077.0,15.6
2017,4,TFL Rail,34.0,10.3
2017,5,Bus,1396.0,7.0
