Month,Year,Transport Mode,Volume
6,2021,London Overground,7.8
7,2021,London Overground,10.1
8,2021,London Overground,8.6
9,2021,London Overground,10.6
10,2021,London Overground,12.5
10,2021,London Overground,11.6
11,2021,London Overground,12.2
12,2021,London Overground,6.7
1,2022,London Overground,10.0
2,2022,London Overground,10.7
3,2022,London Overground,13.8
4,2022,London Overground,12.0
5,2022,London Overground,12.9
6,2022,London Overground,11.1
7,2022,London Overground,12.5
8,2022,London Overground,10.0
9,2022,London Overground,12.3
10,2022,London Overground,12.5
10,2022,London Overground,13.3
11,2022,London Overground,14.0
12,2022,London Overground,6.9
1,2023,London Overground,13.1
2,2023,London Overground,13.4
3,2023,London Overground,13.2
4,2023,London Overground,13.8
5,2023,London Overground,14.1
6,2023,London Overground,14.6
7,2023,London Overground,14.3
8,2023,London Overground,12.4
9,2023,London Overground,13.8
10,2023,London Overground,14.8
10,2023,London Overground,15.0
11,2023,London Overground,15.0
12,2023,London Overground,11.3
1,2024,London Overground,13.7
2,2024,London Overground,14.3
3,2024,London Overground,14.1
4,2024,London Overground,13.5
5,2024,London Overground,14.8
6,2024,London Overground,13.9
7,2024,London Overground,14.4
4,2010,TFL Rail,0.0
5,2010,TFL Rail,0.0
6,2010,TFL Rail,0.0
7,2010,TFL Rail,0.0
8,2010,TFL Rail,0.0
9,2010,TFL Rail,0.0
10,2010,TFL Rail,0.0
10,2010,TFL Rail,0.0
11,2010,TFL Rail,0.0
12,2010,TFL Rail,0.0
1,2011,TFL Rail,0.0
2,2011,TFL Rail,0.0
3,2011,TFL Rail,0.0
4,2011,TFL Rail,0.0
5,2011,TFL Rail,0.0
6,2011,TFL Rail,0.0
7,2011,TFL Rail,0.0
8,2011,TFL Rail,0.0
9,2011,TFL Rail,0.0
10,2011,TFL Rail,0.0
10,2011,TFL Rail,0.0
11,2011,TFL Rail,0.0
12,2011,TFL Rail,0.0
1,2012,TFL Rail,0.0
2,2012,TFL Rail,0.0
3,2012,TFL Rail,0.0
4,2012,TFL Rail,0.0
5,2012,TFL Rail,0.0
6,2012,TFL Rail,0.0
7,2012,TFL Rail,0.0
8,2012,TFL Rail,0.0
9,2012,TFL Rail,0.0
9,2012,TFL Rail,0.0
10,2012,TFL Rail,0.0
11,2012,TFL Rail,0.0
12,2012,TFL Rail,0.0
1,2013,TFL Rail,0.0
2,2013,TFL Rail,0.0
3,2013,TFL Rail,0.0
4,2013,TFL Rail,0.0
5,2013,TFL Rail,0.0
6,2013,TFL Rail,0.0
7,2013,TFL Rail,0.0
8,2013,TFL Rail,0.0
9,2013,TFL Rail,0.0
9,2013,TFL Rail,0.0
10,2013,TFL Rail,0.0
11,2013,TFL Rail,0.0
12,2013,TFL Rail,0.0
1,2014,TFL Rail,0.0
2,2014,TFL Rail,0.0
3,2014,TFL Rail,0.0
4,2014,TFL Rail,2.9
5,2014,TFL Rail,0.0
6,2014,TFL Rail,0.0
7,2014,TFL Rail,0.0
8,2014,TFL Rail,0.0
8,2014,TFL Rail,0.0
9,2014,TFL Rail,0.0
10,2014,TFL Rail,0.0
11,2014,TFL Rail,0.0
12,2014,TFL Rail,0.0
1,2015,TFL Rail,0.0
2,2015,TFL Rail,0.0
3,2015,TFL Rail,0.0
4,2015,TFL Rail,0.0
5,2015,TFL Rail,0.0
6,2015,TFL Rail,3.6
7,2015,TFL Rail,3.8
8,2015,TFL Rail,3.7
9,2015,TFL Rail,3.7
10,2015,TFL Rail,4.1
11,2015,TFL Rail,4.2
11,2015,TFL Rail,4.2
